[2023-11-23 15:58:14,944] MFFTP: success to link "ftp.ifremer.fr"
[2023-11-23 16:01:30,358] MFFTP: success to download "D2901620_039.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:01:33,262] MFFTP: success to download "D2901620_040.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:01:35,723] MFFTP: success to download "D2901620_041.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:01:39,157] MFFTP: success to download "D2901620_042.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:01:41,590] MFFTP: success to download "D2901620_043.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:01:44,022] MFFTP: success to download "D2901620_044.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:01:46,493] MFFTP: success to download "D2901620_045.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:01:48,950] MFFTP: success to download "D2901620_046.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:01:51,380] MFFTP: success to download "D2901620_047.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:01:53,824] MFFTP: success to download "D2901620_048.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:01:56,421] MFFTP: success to download "D2901620_049.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:01:58,910] MFFTP: success to download "D2901620_050.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:02:01,409] MFFTP: success to download "D2901620_051.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:02:03,865] MFFTP: success to download "D2901620_052.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:02:06,302] MFFTP: success to download "D2901620_053.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:02:08,741] MFFTP: success to download "D2901620_054.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:02:11,163] MFFTP: success to download "D2901620_055.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:02:13,618] MFFTP: success to download "D2901620_056.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:02:16,047] MFFTP: success to download "D2901620_057.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
